FA/binder,CA/Binder,Binder (kg),% of SiO2,% of CaO,% of Al2O3,liquid/binder ratio,NaOH Molarity,Na2SiO3/  NaOH,Additional Water (%),SP (% of b),Curing temp (0 C),Age,Comp. Strength (Mpa),,
2.14,2.37,360.00,57.43,10.58,19.26,0.50,10.00,1.00,0.00,1.00,23.00,14.00,33.11,,
2.14,2.37,360.00,57.43,10.58,19.26,0.50,10.00,1.00,0.00,1.00,23.00,28.00,37.84,,
2.13,2.35,360.00,60.78,6.50,19.92,0.50,10.00,1.00,0.00,1.00,23.00,3.00,15.62,,
2.13,2.35,360.00,60.78,6.50,19.92,0.50,10.00,1.00,0.00,1.00,23.00,7.00,25.08,,
2.13,2.35,360.00,60.78,6.50,19.92,0.50,10.00,1.00,0.00,1.00,23.00,14.00,29.04,,
2.13,2.35,360.00,60.78,6.50,19.92,0.50,10.00,1.00,0.00,1.00,23.00,28.00,32.23,,
2.21,2.44,360.00,43.83,30.74,13.69,0.50,10.00,1.00,0.00,1.00,23.00,3.00,18.04,,
2.21,2.44,360.00,43.83,30.74,13.69,0.50,10.00,1.00,0.00,1.00,23.00,7.00,28.93,,
2.21,2.44,360.00,43.83,30.74,13.69,0.50,10.00,1.00,0.00,1.00,23.00,14.00,36.19,,
2.21,2.44,360.00,43.83,30.74,13.69,0.50,10.00,1.00,0.00,1.00,23.00,28.00,40.04,,
2.20,2.43,360.00,47.18,26.66,14.36,0.50,10.00,1.00,0.00,1.00,23.00,3.00,18.59,,
2.20,2.43,360.00,47.18,26.66,14.36,0.50,10.00,1.00,0.00,1.00,23.00,7.00,29.37,,
2.20,2.43,360.00,47.18,26.66,14.36,0.50,10.00,1.00,0.00,1.00,23.00,14.00,35.31,,
2.20,2.43,360.00,47.18,26.66,14.36,0.50,10.00,1.00,0.00,1.00,23.00,28.00,37.95,,
2.18,2.41,360.00,50.52,22.59,15.02,0.50,10.00,1.00,0.00,1.00,23.00,3.00,24.75,,
2.18,2.41,360.00,50.52,22.59,15.02,0.50,10.00,1.00,0.00,1.00,23.00,7.00,35.42,,
2.18,2.41,360.00,50.52,22.59,15.02,0.50,10.00,1.00,0.00,1.00,23.00,14.00,41.58,,
2.18,2.41,360.00,50.52,22.59,15.02,0.50,10.00,1.00,0.00,1.00,23.00,28.00,44.33,,
2.17,2.40,360.00,53.87,18.51,15.68,0.50,10.00,1.00,0.00,1.00,23.00,3.00,22.22,,
2.17,2.40,360.00,53.87,18.51,15.68,0.50,10.00,1.00,0.00,1.00,23.00,7.00,33.33,,
2.17,2.40,360.00,53.87,18.51,15.68,0.50,10.00,1.00,0.00,1.00,23.00,14.00,38.61,,
2.17,2.40,360.00,53.87,18.51,15.68,0.50,10.00,1.00,0.00,1.00,23.00,28.00,41.36,,
2.16,2.38,360.00,57.21,14.44,16.35,0.50,10.00,1.00,0.00,1.00,23.00,3.00,19.14,,
2.16,2.38,360.00,57.21,14.44,16.35,0.50,10.00,1.00,0.00,1.00,23.00,7.00,31.46,,
2.16,2.38,360.00,57.21,14.44,16.35,0.50,10.00,1.00,0.00,1.00,23.00,14.00,36.30,,
2.16,2.38,360.00,57.21,14.44,16.35,0.50,10.00,1.00,0.00,1.00,23.00,28.00,40.15,,
2.14,2.37,360.00,60.55,10.36,17.01,0.50,10.00,1.00,0.00,1.00,23.00,3.00,18.48,,
2.14,2.37,360.00,60.55,10.36,17.01,0.50,10.00,1.00,0.00,1.00,23.00,7.00,31.57,,
2.14,2.37,360.00,60.55,10.36,17.01,0.50,10.00,1.00,0.00,1.00,23.00,14.00,34.32,,
2.14,2.37,360.00,60.55,10.36,17.01,0.50,10.00,1.00,0.00,1.00,23.00,28.00,38.06,,
2.13,2.35,360.00,63.90,6.29,17.68,0.50,10.00,1.00,0.00,1.00,23.00,3.00,19.25,,
2.13,2.35,360.00,63.90,6.29,17.68,0.50,10.00,1.00,0.00,1.00,23.00,7.00,29.81,,
2.13,2.35,360.00,63.90,6.29,17.68,0.50,10.00,1.00,0.00,1.00,23.00,14.00,32.34,,
2.13,2.35,360.00,63.90,6.29,17.68,0.50,10.00,1.00,0.00,1.00,23.00,28.00,33.88,,
1.36,3.17,408.00,50.89,14.23,21.42,0.42,6.00,1.50,0.00,0.50,20.00,28.00,27.53,,
1.36,3.17,408.00,50.18,15.64,20.93,0.42,8.00,2.00,0.00,1.00,20.00,28.00,28.18,,
1.36,3.17,408.00,49.46,17.05,20.44,0.42,10.00,2.50,0.00,1.50,20.00,28.00,33.20,,
1.36,3.17,408.00,48.75,18.46,19.95,0.42,12.00,3.00,0.00,2.00,20.00,28.00,30.60,,
1.36,3.17,408.00,50.18,15.64,20.93,0.42,10.00,2.00,0.00,0.50,20.00,28.00,35.53,,
1.36,3.17,408.00,50.18,15.64,20.93,0.42,12.00,1.50,0.00,1.00,20.00,28.00,33.02,,
1.36,3.17,408.00,50.18,15.64,20.93,0.42,6.00,3.00,0.00,1.50,20.00,28.00,35.15,,
1.36,3.17,408.00,50.18,15.64,20.93,0.42,8.00,2.50,0.00,2.00,20.00,28.00,29.20,,
1.36,3.17,408.00,49.46,17.05,20.44,0.42,12.00,2.50,0.00,0.50,20.00,28.00,36.27,,
1.36,3.17,408.00,49.46,17.05,20.44,0.42,10.00,3.00,0.00,1.00,20.00,28.00,26.97,,
1.36,3.17,408.00,49.46,17.05,20.44,0.42,8.00,1.50,0.00,1.50,20.00,28.00,39.67,,
1.36,3.17,408.00,49.46,17.05,20.44,0.42,6.00,2.00,0.00,2.00,20.00,28.00,34.60,,
1.36,3.17,408.00,48.75,18.46,19.95,0.42,8.00,3.00,0.00,0.50,20.00,28.00,35.53,,
1.36,3.17,408.00,48.75,18.46,19.95,0.42,6.00,2.50,0.00,1.00,20.00,28.00,33.95,,
1.36,3.17,408.00,48.75,18.46,19.95,0.42,12.00,2.00,0.00,1.50,20.00,28.00,35.53,,
1.36,3.17,408.00,48.75,18.46,19.95,0.42,10.00,1.50,0.00,2.00,20.00,28.00,38.69,,
1.00,3.00,490.00,53.14,6.69,28.83,0.46,12.00,2.00,4.00,0.80,31.40,3.00,9.33,,
1.00,3.00,490.00,53.22,6.66,28.80,0.46,12.00,2.00,4.00,0.80,31.40,3.00,10.01,,
1.00,3.00,490.00,53.31,6.63,28.76,0.46,12.00,2.00,4.00,0.80,31.40,3.00,10.13,,
1.00,3.00,490.00,53.39,6.60,28.73,0.46,12.00,2.00,4.00,0.80,31.40,3.00,11.12,,
1.00,3.00,490.00,53.48,6.57,28.69,0.46,12.00,2.00,4.00,0.80,31.40,3.00,12.11,,
1.00,3.00,490.00,53.57,6.54,28.66,0.46,12.00,2.00,4.00,0.80,31.40,3.00,11.99,,
1.00,3.00,490.00,53.14,6.69,28.83,0.46,12.00,2.00,4.00,0.80,31.40,7.00,33.12,,
1.00,3.00,490.00,53.22,6.66,28.80,0.46,12.00,2.00,4.00,0.80,31.40,7.00,32.07,,
1.00,3.00,490.00,53.31,6.63,28.76,0.46,12.00,2.00,4.00,0.80,31.40,7.00,33.12,,
1.00,3.00,490.00,53.39,6.60,28.73,0.46,12.00,2.00,4.00,0.80,31.40,7.00,32.13,,
1.00,3.00,490.00,53.48,6.57,28.69,0.46,12.00,2.00,4.00,0.80,31.40,7.00,33.12,,
1.00,3.00,490.00,53.57,6.54,28.66,0.46,12.00,2.00,4.00,0.80,31.40,7.00,31.02,,
1.00,3.00,490.00,53.14,6.69,28.83,0.46,12.00,2.00,4.00,0.80,31.40,14.00,55.12,,
1.00,3.00,490.00,53.22,6.66,28.80,0.46,12.00,2.00,4.00,0.80,31.40,14.00,55.98,,
1.00,3.00,490.00,53.31,6.63,28.76,0.46,12.00,2.00,4.00,0.80,31.40,14.00,54.01,,
1.00,3.00,490.00,53.39,6.60,28.73,0.46,12.00,2.00,4.00,0.80,31.40,14.00,57.10,,
1.00,3.00,490.00,53.48,6.57,28.69,0.46,12.00,2.00,4.00,0.80,31.40,14.00,55.98,,
1.00,3.00,490.00,53.57,6.54,28.66,0.46,12.00,2.00,4.00,0.80,31.40,14.00,57.03,,
1.00,3.00,490.00,53.14,6.69,28.83,0.46,12.00,2.00,4.00,0.80,31.40,28.00,56.48,,
1.00,3.00,490.00,53.22,6.66,28.80,0.46,12.00,2.00,4.00,0.80,31.40,28.00,56.23,,
1.00,3.00,490.00,53.31,6.63,28.76,0.46,12.00,2.00,4.00,0.80,31.40,28.00,58.58,,
1.00,3.00,490.00,53.39,6.60,28.73,0.46,12.00,2.00,4.00,0.80,31.40,28.00,59.57,,
1.00,3.00,490.00,53.48,6.57,28.69,0.46,12.00,2.00,4.00,0.80,31.40,28.00,59.01,,
1.00,3.00,490.00,53.57,6.54,28.66,0.46,12.00,2.00,4.00,0.80,31.40,28.00,59.69,,
1.63,3.02,400.00,50.00,1.79,28.25,0.40,14.00,2.50,0.00,0.00,21.50,3.00,5.15,,
1.63,3.02,400.00,48.25,5.92,26.86,0.40,14.00,2.50,0.00,0.00,21.50,3.00,14.27,,
1.63,3.02,400.00,46.49,10.05,25.46,0.40,14.00,2.50,0.00,0.00,21.50,3.00,21.56,,
1.63,3.02,400.00,44.74,14.18,24.07,0.40,14.00,2.50,0.00,0.00,21.50,3.00,30.69,,
